Original Image Name,Actin Volume,GFP Volume,Condition
ni_11-17_P14_various-size_6dpi_3,4803750,0.0,ni
ni_11-17_P14_various-size_6dpi_2,7855530,0.0,ni
ni_11-17_P14_various-size_6dpi_4,3960960,7.658740043640137,ni
ni_11-17_P14_various-size_6dpi_1,8834460,24.95596206188202,ni
AAV8_low_11-17_P14_various-size_6dpi_2,6303400,3804.3900146484375,low
AAV8_low_11-17_P14_various-size_6dpi_3,5120350,2537.5282731056213,low
AAV8_low_11-17_P14_various-size_6dpi_4,6194260,7778.22801554203,low
AAV8_low_11-17_P14_various-size_6dpi_5,13029200,21381.881541758776,low
AAV8_low_11-17_P14_various-size_6dpi_7,3759220,6130.062713742256,low
AAV8_low_11-17_P14_various-size_6dpi_1,3182480,113.1510009765625,low
AAV8_low_11-17_P14_various-size_6dpi_6,1220570,12151.597299575806,low
AAV8_medium-dose_11-17_P14_various-size_6dpi_11,12006400,6210.004592895508,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_6,3685510,107111.49171894789,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_9,3579870,36422.563337534666,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_8,8750050,969.4421858787537,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_12,8418340,1776.5400390625,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_3,4521650,977.6119689941406,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_10,15611100,42200.52643573284,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_7,3059890,3422.268793463707,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_13,3610070,109575.77792072296,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_17,5332520,9242.641483306885,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_18,4100100,1343.6885741949081,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_5,3971170,1848.8509826660156,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_14,6008060,1815.772688060999,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_4,7214060,30597.300703525543,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_16,4233140,5680.688334286213,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_16b,4631310,20430.172834157944,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_7b,5452720,9643.76233959198,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_2b,7837570,41309.70852661133,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_1,3434670,1500.9543418884277,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_15,18110200,47833.928430080414,medium
AAV8_medium-dose_11-17_P14_various-size_6dpi_2,3695420,7208.356843948364,medium
AAV8_high_11-17_P14_various-size_6dpi_11,8005540,26665.061487078667,high
AAV8_high_11-17_P14_various-size_6dpi_12,2335180,76822.97363471985,high
AAV8_high_11-17_P14_various-size_6dpi_2,6836410,44812.95373982191,high
AAV8_high_11-17_P14_various-size_6dpi_single-large-cluster,35590300,349366.6309862286,high
AAV8_high_11-17_P14_various-size_6dpi_10,3855910,23081.143796682358,high
AAV8_high_11-17_P14_various-size_6dpi_1,6062540,42623.76320195198,high
AAV8_high_11-17_P14_various-size_6dpi_9,5442710,8768.908513069153,high
AAV8_high_11-17_P14_various-size_6dpi_5,4153910,241689.58931088448,high
AAV8_high_11-17_P14_various-size_6dpi_6,10012000,25571.428915023804,high
AAV8_high_11-17_P14_various-size_6dpi_3,3817810,16541.029403686523,high
AAV8_high_11-17_P14_various-size_6dpi_4,4045620,32220.065624155104,high
AAV8_high_11-17_P14_various-size_6dpi_7,5859780,7975.553131103516,high
AAV8_high_11-17_P14_various-size_6dpi_8,11024200,234405.82111230493,high
AAV8_extra-high_11-17_P14_various-size_6dpi_7,4467380,131844.21714520454,extra high
AAV8_extra-high_11-17_P14_various-size_6dpi_14,5036300,120355.80493617058,extra high
AAV8_extra-high_11-17_P14_various-size_6dpi_1,2446770,478533.4927883148,extra high
AAV8_extra-high_11-17_P14_various-size_6dpi_5,8050660,456794.4525718242,extra high
AAV8_extra-high_11-17_P14_various-size_6dpi_11,4774770,122946.56573191285,extra high
AAV8_extra-high_11-17_P14_various-size_6dpi_10,8585620,182494.1896365881,extra high
AAV8_extra-high_11-17_P14_various-size_6dpi_3,6911620,1188630.3855001107,extra high
AAV8_extra-high_11-17_P14_various-size_6dpi_4,5807670,183335.17142546177,extra high
AAV8_extra-high_11-17_P14_various-size_6dpi_8,1902800,253165.12823104858,extra high
AAV8_extra-high_11-17_P14_various-size_6dpi_9,5545170,1148281.5786713213,extra high
AAV8_extra-high_11-17_P14_various-size_6dpi_2,3544510,234173.13455097377,extra high
AAV8_extra-high_11-17_P14_various-size_6dpi_single-large,16690400,221408.16143819503,extra high
AAV8_extra-high_11-17_P14_various-size_6dpi_12,6066540,425723.59874790907,extra high
AAV8_extra-high_11-17_P14_various-size_6dpi_6,9823880,668418.174424544,extra high
AAV8_extra-high_11-17_P14_various-size_6dpi_13,10604800,350285.91110565886,extra high
AAV8_XXH_11-17_P14_various-size_6dpi_7,5966390,2609747.5044974387,XXH
AAV8_XXH_11-17_P14_various-size_6dpi_9,1382150,213693.04129493237,XXH
AAV8_XXH_11-17_P14_various-size_6dpi_4,6204190,747631.2124671191,XXH
AAV8_XXH_11-17_P14_various-size_6dpi_5,8840460,1482999.3696351722,XXH
AAV8_XXH_11-17_P14_various-size_6dpi_1,1874060,132686.0205284208,XXH
AAV8_XXH_11-17_P14_various-size_6dpi_3,4422250,660853.7467814386,XXH
AAV8_XXH_11-17_P14_various-size_6dpi_2,8850150,821515.5789213534,XXH
AAV8_XXH_11-17_P14_various-size_6dpi_8,7680850,2453613.4898339733,XXH
AAV8_XXH_11-17_P14_various-size_6dpi_6,6538930,381202.9353862703,XXH
AAV8_XXH_11-17_P14_various-size_6dp_single-large,20889200,2500780.147995651,XXH
AAV8_XXH_11-17_P14_various-size_6dpi_10,1879790,372755.82681679726,XXH
AAV8_XXH_11-17_P14_various-size_6dpi_11,1592880,376243.81296783686,XXH
